short_name,long_name,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Bedford Stuyvesant,0.334342653699423,0.293727219866404,0.28411721449811,0.235374487641287,0.271725274583779,0.236426820269916,0.245532589071884,0.265010717734907,0.231899754276864,0.228989464104449,0.187369821485044,0.169495850643584
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Greenwich Village/Financial District,0.0460881852995954,0.074974273106239,0.0495757666999452,0.0549412362223668,0.0602937972109239,0.0518609599553509,0.0359103945159485,0.0458148536763863,0.0380692851198538,0.0401894037550943,0.0341641490433031,0.0419473598393505
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Lower East Side/Chinatown,0.306303769197257,0.288565626730663,0.322685688897764,0.316910570357426,0.291376303053629,0.266274097203367,0.286650827527886,0.273982237197206,0.257770764375337,0.249701284268752,0.229677450553702,0.265529350353533
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Chelsea/Clinton/Midtown,0.0681431155999235,0.0840624304886187,0.0721055532994797,0.069356119200203,0.0710444238388266,0.0765761533402236,0.0508531818066684,0.063005965522914,0.044870642806405,0.0657551977995308,0.0540351457888244,0.0428081595711352
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Stuyvesant Town/Turtle Bay,0.0263527172999147,0.0406562236475609,0.0342886173998522,0.0135822614705318,0.0300291431902079,0.0329505284173123,0.0360093892676887,0.0264435769373923,0.0235489830550981,0.0204118250170882,0.0376850723634037,0.0407416728083263
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Upper West Side,0.0691778037999029,0.0586567619457752,0.0527660036996167,0.0532038616411975,0.0520805962305616,0.0506785233992446,0.0628647995032517,0.0559336519894907,0.0651796744729256,0.0425403885146184,0.0757133198994427,0.0389848296918233
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Upper East Side,0.0269921678998344,0.045095652173913,0.0280880315999639,0.0436695453804791,0.0342594415679096,0.0311542099205761,0.0417254911344548,0.0253262948340845,0.0389069933801905,0.0291162785438469,0.0192766132346897,0.0311199801013025
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Morningside Heights/Hamilton Heights,0.248654155799159,0.229615917421633,0.211727142699601,0.270637042961038,0.225606023859844,0.217134972403412,0.205604540826274,0.198608161757917,0.23440209485016,0.213484759636673,0.200270032024459,0.192635138375941
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Central Harlem,0.236598764298833,0.262874394850242,0.253212109299056,0.226648937504704,0.169269496786177,0.211162921151352,0.196131144407006,0.216814797554453,0.186063532401525,0.187495328898901,0.190528260223364,0.168428824571766
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,East Harlem,0.313660161798907,0.364564966969932,0.33842789299888,0.38223468798151,0.320636763792498,0.276250899688108,0.280737302289026,0.26938232562809,0.22674235653958,0.280016088255573,0.283825393950371,0.230280792723118
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Washington Heights/Inwood,0.349577842396684,0.323982236969129,0.340826592298981,0.330240416970947,0.307260090665793,0.333002153824776,0.301234378057986,0.306166171105081,0.290172920065253,0.29852219886617,0.293698404770998,0.272426275568198
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Middle Village/Ridgewood,0.206469510498209,0.206419789685187,0.192141549199732,0.206893614846738,0.218182797022088,0.220940449072568,0.186310993925639,0.187003779079846,0.170817633442036,0.161381385442375,0.160256765859651,0.138758165602469
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Rego Park/Forest Hills,0.100164131299607,0.0930967512095338,0.0698401820991421,0.0669247409768872,0.0813284548269068,0.0860137041515518,0.0555368449413984,0.0930203676105315,0.0844379430629009,0.0777177219336422,0.0742604744006286,0.0734432006867651
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Flushing/Whitestone,0.18823324099867,0.165221055396554,0.187199240999689,0.200693562305371,0.186068896675359,0.198855881600273,0.192804433060889,0.234970152541735,0.214343019906203,0.207164285377717,0.222781027734523,0.252902262744719
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Hillcrest/Fresh Meadows,0.127561787299783,0.152307722953726,0.122038417899603,0.137996142109184,0.138368271650265,0.132664070447283,0.162098947475467,0.105629253770467,0.161636530448412,0.136155565489495,0.155890208250623,0.131697625557128
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Ozone Park/Woodhaven,0.182804825599305,0.214390185829771,0.223424091598645,0.247754788974436,0.235096866426296,0.186173324649807,0.229795540329247,0.254117292629042,0.217893892823734,0.228959139568779,0.21912263739597,0.239477084029742
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,South Ozone Park/Howard Beach,0.234725777898348,0.23216281395212,0.21387102189874,0.257232638525191,0.229176232354984,0.241208579147599,0.191312275433046,0.222229706972044,0.207706556235916,0.244186953373071,0.239915356463781,0.226156420359475
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Bayside/Little Neck,0.12237654889941,0.143934154885667,0.117334167699482,0.120550769127351,0.115331607785136,0.107467125860989,0.105391957875692,0.132031756140948,0.101857468212459,0.0882125094028225,0.100707075300109,0.123815936106984
pop_edu_nohs_pct,Population aged 25+ without a high school diploma,Jamaica,0.255883212099434,0.226032961931291,0.226490259599814,0.219065674037583,0.225390322602744,0.210584578995861,0.218737976144671,0.212189616252822,0.194207417131605,0.186506246882641,0.208255904162231,0.170351465392186
