zcta10,stateco,alloc,puma10,boro,CD,pumaname,sub_boro,per_in_puma,per_of_puma
10103,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1,0
10110,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0
10111,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0
10112,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0
10115,36061,x,03802,Manhattan,9,"Hamilton Heights, Manhattanville & West Harlem",Morningside Heights/Hamilton Heights,,0
10119,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1,0.001
10128,36061,x,03805,Manhattan,8,Upper East Side,Upper East Side,0.96,0.264
10152,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10153,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0
10154,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10162,36061,x,03805,Manhattan,8,Upper East Side,Upper East Side,1,0.008
10165,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,1,0
10167,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10168,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10169,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10170,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,1,0
10171,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10172,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10173,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1,0
10174,36061,x,03808,Manhattan,6,"Murray Hill, Gramercy & Stuyvesant Town",Stuyvesant Town/Turtle Bay,,0
10177,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,,0
